"Sample File Name","Dye Color","Dye , Sample Peak","Sample Name","Size","Height","Area(Data Point)","Area(Base Pairs)","Data Point","Begin Point (Data Point)","End Point (Data Point)","Begin Point (Base Pairs)","End Point (Base Pairs)"
"Ricardo_2007287A_plate2_B06_B6_046_2020-07-30.fsa","BLUE","B,1 ","B6","1.76","2296.0","19531.0","2639.32","1057.0","1048.0","1064.0","0.54","2.7"
"Ricardo_2007287A_plate2_H08_H8_050_2020-07-30.fsa","BLUE","B,1 ","H8","2.27","189.0","1288.0","171.73","1089.0","1077.0","1097.0","0.67","3.33"
"Ricardo_2007287A_plate2_E06_E6_040_2020-07-30.fsa","BLUE","B,1 ","E6","3.11","347.0","1612.0","217.84","1057.0","1049.0","1063.0","2.03","3.92"
"Ricardo_2007287A_plate2_B05_B5_045_2020-07-30.fsa","BLUE","B,1 ","B5","3.09","352.0","1652.0","221.74","1087.0","1068.0","1095.0","0.54","4.16"
"Ricardo_2007287A_plate2_A06_A6_048_2020-07-30.fsa","BLUE","B,1 ","A6","0.81","712.0","7766.0","877.73","1025.0","1008.0","1030.0","-1.0","1.49"
"Ricardo_2007287A_plate2_F06_F6_038_2020-07-30.fsa","BLUE","B,1 ","F6","1.36","2943.0","28435.0","3868.71","1040.0","1033.0","1049.0","0.41","2.59"
"Ricardo_2007287A_plate2_B09_B9_077_2020-07-30.fsa","BLUE","B,1 ","B9","5.37","93.0","608.0","81.61","1089.0","1075.0","1098.0","3.49","6.58"
"Ricardo_2007287A_plate2_G07_G7_051_2020-07-30.fsa","BLUE","B,1 ","G7","1.76","276.0","1356.0","183.24","1057.0","1049.0","1064.0","0.68","2.7"
"Ricardo_2007287A_plate2_B10_B10_078_2020-07-30.fsa","BLUE","B,1 ","B10","6.89","81.0","493.0","66.62","1090.0","1080.0","1098.0","5.54","7.97"
"Ricardo_2007287A_plate2_H07_H7_049_2020-07-30.fsa","BLUE","B,1 ","H7","2.93","132.0","904.0","120.53","1089.0","1078.0","1098.0","1.47","4.13"
"Ricardo_2007287A_plate2_H02_H2_002_2020-07-30.fsa","BLUE","B,1 ","H2","18.17","51.0","345.0","45.1","1229.0","1217.0","1237.0","16.6","19.22"
"Ricardo_2007287A_plate2_F05_F5_037_2020-07-30.fsa","BLUE","B,1 ","F5","2.97","112.0","521.0","70.41","1072.0","1063.0","1078.0","1.76","3.78"
"Ricardo_2007287A_plate2_C01_C1_011_2020-07-30.fsa","BLUE","B,1 ","C1","0.4","249.0","1620.0","199.75","1084.0","1072.0","1093.0","-1.0","1.59"
"Ricardo_2007287A_plate2_A07_A7_063_2020-07-30.fsa","BLUE","B,1 ","A7","1.62","1515.0","12950.0","1750.0","1039.0","1030.0","1050.0","0.41","3.11"
"Ricardo_2007287A_plate2_E02_E2_008_2020-07-30.fsa","BLUE","B,1 ","E2","2.43","240.0","1649.0","222.84","1076.0","1070.0","1086.0","1.62","3.78"
"Ricardo_2007287A_plate2_D03_D3_025_2020-07-30.fsa","BLUE","B,1 ","D3","0.95","4320.0","43939.0","5937.7","1052.0","1046.0","1064.0","0.14","2.57"
"Ricardo_2007287A_plate2_C02_C2_012_2020-07-30.fsa","BLUE","B,1 ","C2","1.07","3174.0","31215.0","4189.92","1059.0","1053.0","1071.0","0.27","2.68"
"Ricardo_2007287A_plate2_G04_G4_020_2020-07-30.fsa","BLUE","B,1 ","G4","2.95","587.0","3116.0","418.26","1070.0","1063.0","1077.0","2.01","3.89"
"Ricardo_2007287A_plate2_G10_G10_068_2020-07-30.fsa","BLUE","B,1 ","G10","1.73","179.0","1213.0","184.38","1090.0","1073.0","1098.0","-1.0","2.8"
"Ricardo_2007287A_plate2_A03_A3_031_2020-07-30.fsa","BLUE","B,1 ","A3","2.52","50.0","377.0","49.93","1089.0","1071.0","1096.0","0.13","3.44"
"Ricardo_2007287A_plate2_A08_A8_064_2020-07-30.fsa","BLUE","B,1 ","A8","1.22","83.0","589.0","79.59","1056.0","1051.0","1064.0","0.54","2.3"
"Ricardo_2007287A_plate2_A09_A9_079_2020-07-30.fsa","BLUE","B,1 ","A9","0.53","73.0","490.0","57.56","1065.0","1051.0","1072.0","-1.0","1.47"
"Ricardo_2007287A_plate2_F08_F8_054_2020-07-30.fsa","BLUE","B,1 ","F8","1.51","1108.0","18178.0","2490.14","1017.0","1009.0","1034.0","0.41","3.84"
"Ricardo_2007287A_plate2_E09_E9_071_2020-07-30.fsa","BLUE","B,1 ","E9","6.49","101.0","700.0","94.59","1089.0","1080.0","1098.0","5.27","7.7"
"Ricardo_2007287A_plate2_C09_C9_075_2020-07-30.fsa","BLUE","B,1 ","C9","2.82","75.0","437.0","58.66","1089.0","1080.0","1098.0","1.61","4.03"
"Ricardo_2007287A_plate2_E05_E5_039_2020-07-30.fsa","BLUE","B,1 ","E5","64.49","72.0","608.0","61.66","1575.0","1563.0","1587.0","63.27","65.7"
"Ricardo_2007287A_plate2_F02_F2_006_2020-07-30.fsa","BLUE","B,1 ","F2","1.61","970.0","13557.0","1819.74","1064.0","1055.0","1075.0","0.4","3.09"
"Ricardo_2007287A_plate2_F09_F9_069_2020-07-30.fsa","BLUE","B,1 ","F9","3.36","148.0","1125.0","151.01","1089.0","1072.0","1101.0","1.07","4.97"
"Ricardo_2007287A_plate2_H06_H6_034_2020-07-30.fsa","BLUE","B,1 ","H6","4.13","81.0","634.0","84.53","1090.0","1072.0","1098.0","1.73","5.2"
"Ricardo_2007287A_plate2_D07_D7_057_2020-07-30.fsa","BLUE","B,1 ","D7","6.08","336.0","3027.0","409.05","1083.0","1076.0","1094.0","5.14","7.57"
"Ricardo_2007287A_plate2_G05_G5_035_2020-07-30.fsa","BLUE","B,1 ","G5","1.33","218.0","1938.0","258.4","1052.0","1049.0","1064.0","0.93","2.93"
"Ricardo_2007287A_plate2_H09_H9_065_2020-07-30.fsa","BLUE","B,1 ","H9","1.72","372.0","2413.0","319.6","1090.0","1079.0","1098.0","0.26","2.78"
"Ricardo_2007287A_plate2_B03_B3_029_2020-07-30.fsa","BLUE","B,1 ","B3","1.33","4818.0","45445.0","6059.34","1052.0","1048.0","1065.0","0.8","3.07"
"Ricardo_2007287A_plate2_F10_F10_070_2020-07-30.fsa","BLUE","B,1 ","F10","0.82","209.0","2300.0","343.1","1029.0","1017.0","1031.0","-1.0","1.09"
"Ricardo_2007287A_plate2_B11_B11_093_2020-07-30.fsa","BLUE","B,1 ","B11","156.52","76.0","1756.0","160.99","2580.0","2553.0","2606.0","154.04","158.9"
"Ricardo_2007287A_plate2_B02_B2_014_2020-07-30.fsa","BLUE","B,1 ","B2","1.33","8222.0","81965.0","10928.68","1082.0","1075.0","1092.0","0.4","2.67"
"Ricardo_2007287A_plate2_C04_C4_028_2020-07-30.fsa","BLUE","B,1 ","C4","1.08","2075.0","18344.0","2478.92","1049.0","1044.0","1058.0","0.41","2.3"
"Ricardo_2007287A_plate2_C03_C3_027_2020-07-30.fsa","BLUE","B,1 ","C3","1.34","8256.0","82376.0","11057.2","1038.0","1033.0","1058.0","0.67","4.03"
"Ricardo_2007287A_plate2_D06_D6_042_2020-07-30.fsa","BLUE","B,1 ","D6","1.5","1399.0","11594.0","1577.41","1038.0","1033.0","1048.0","0.82","2.86"
"Ricardo_2007287A_plate2_E03_E3_023_2020-07-30.fsa","BLUE","B,1 ","E3","1.08","5553.0","58091.0","7850.13","1044.0","1038.0","1060.0","0.27","3.24"
"Ricardo_2007287A_plate2_D02_D2_010_2020-07-30.fsa","BLUE","B,1 ","D2","3.07","237.0","1392.0","185.6","1085.0","1076.0","1092.0","1.87","4.0"
"Ricardo_2007287A_plate2_E11_E11_087_2020-07-30.fsa","BLUE","B,1 ","E11","0.27","62.0","457.0","82.03","1056.0","1051.0","1064.0","-1.0","1.33"
"Ricardo_2007287A_plate2_C06_C6_044_2020-07-30.fsa","BLUE","B,1 ","C6","2.97","63.0","167.0","22.57","1068.0","1064.0","1074.0","2.43","3.78"
"Ricardo_2007287A_plate2_F07_F7_053_2020-07-30.fsa","BLUE","B,1 ","F7","0.54","1669.0","15738.0","2141.23","1039.0","1035.0","1055.0","0.0","2.72"
"Ricardo_2007287A_plate2_G01_G1_003_2020-07-30.fsa","BLUE","B,1 ","G1","15.71","53.0","339.0","44.03","1228.0","1219.0","1237.0","14.55","16.88"
"Ricardo_2007287A_plate2_E07_E7_055_2020-07-30.fsa","BLUE","B,1 ","E7","1.35","1821.0","16270.0","2198.65","1028.0","1022.0","1032.0","0.54","1.89"
"Ricardo_2007287A_plate2_H03_H3_017_2020-07-30.fsa","BLUE","B,1 ","H3","1.32","64.0","475.0","78.41","1084.0","1072.0","1094.0","-1.0","2.63"
"Ricardo_2007287A_plate2_D05_D5_041_2020-07-30.fsa","BLUE","B,1 ","D5","0.68","2827.0","18541.0","2522.6","1038.0","1036.0","1048.0","0.41","2.04"
"Ricardo_2007287A_plate2_E10_E10_072_2020-07-30.fsa","BLUE","B,1 ","E10","4.83","167.0","1141.0","153.15","1090.0","1071.0","1098.0","2.28","5.91"
"Ricardo_2007287A_plate2_A12_A12_096_2020-07-30.fsa","BLUE","B,1 ","A12","0.39","84.0","718.0","96.87","1126.0","1116.0","1134.0","-1.0","1.43"
"Ricardo_2007287A_plate2_D04_D4_026_2020-07-30.fsa","BLUE","B,1 ","D4","1.22","5963.0","45544.0","6154.57","1029.0","1025.0","1040.0","0.68","2.7"
"Ricardo_2007287A_plate2_C10_C10_076_2020-07-30.fsa","BLUE","B,1 ","C10","0.95","287.0","3308.0","590.08","1039.0","1031.0","1051.0","-1.0","2.57"
"Ricardo_2007287A_plate2_F03_F3_021_2020-07-30.fsa","BLUE","B,1 ","F3","1.2","3108.0","31868.0","4249.07","1058.0","1053.0","1071.0","0.53","2.93"
"Ricardo_2007287A_plate2_F01_F1_005_2020-07-30.fsa","BLUE","B,1 ","F1","0.26","646.0","4054.0","524.24","1084.0","1074.0","1093.0","-1.0","1.46"
"Ricardo_2007287A_plate2_G03_G3_019_2020-07-30.fsa","BLUE","B,1 ","G3","1.59","6139.0","63363.0","8392.46","1060.0","1054.0","1072.0","0.79","3.18"
"Ricardo_2007287A_plate2_B07_B7_061_2020-07-30.fsa","BLUE","B,1 ","B7","0.95","1557.0","14599.0","1972.84","1058.0","1053.0","1071.0","0.27","2.7"
"Ricardo_2007287A_plate2_G08_G8_052_2020-07-30.fsa","BLUE","B,1 ","G8","0.0","1416.0","11225.0","1550.6","1038.0","1031.0","1049.0","-1.0","1.49"
"Ricardo_2007287A_plate2_E04_E4_024_2020-07-30.fsa","BLUE","B,1 ","E4","0.95","5081.0","40940.0","5570.08","1044.0","1039.0","1054.0","0.27","2.31"
"Ricardo_2007287A_plate2_E01_E1_007_2020-07-30.fsa","BLUE","B,1 ","E1","16.23","102.0","660.0","85.71","1229.0","1219.0","1242.0","14.94","17.92"
"Ricardo_2007287A_plate2_D08_D8_058_2020-07-30.fsa","BLUE","B,1 ","D8","1.62","728.0","6677.0","902.29","1049.0","1046.0","1065.0","1.22","3.78"
"Ricardo_2007287A_plate2_B08_B8_062_2020-07-30.fsa","BLUE","B,1 ","B8","1.74","1430.0","12918.0","1733.96","1057.0","1049.0","1064.0","0.67","2.68"
"Ricardo_2007287A_plate2_A05_A5_047_2020-07-30.fsa","BLUE","B,1 ","A5","0.54","627.0","3770.0","583.53","1057.0","1048.0","1064.0","-1.0","1.48"
"Ricardo_2007287A_plate2_C05_C5_043_2020-07-30.fsa","BLUE","B,1 ","C5","3.97","864.0","3730.0","510.96","1038.0","1031.0","1045.0","3.01","4.93"
"Ricardo_2007287A_plate2_B04_B4_030_2020-07-30.fsa","BLUE","B,1 ","B4","3.09","1307.0","8515.0","1142.95","1081.0","1074.0","1091.0","2.15","4.43"
"Ricardo_2007287A_plate2_E08_E8_056_2020-07-30.fsa","BLUE","B,1 ","E8","1.36","1254.0","7605.0","1034.7","1057.0","1049.0","1064.0","0.27","2.31"
"Ricardo_2007287A_plate2_G02_G2_004_2020-07-30.fsa","BLUE","B,1 ","G2","1.71","476.0","4636.0","610.0","1104.0","1094.0","1115.0","0.39","3.16"
"Ricardo_2007287A_plate2_H04_H4_018_2020-07-30.fsa","BLUE","B,1 ","H4","46.09","94.0","583.0","63.01","1426.0","1419.0","1433.0","45.33","46.84"
"Ricardo_2007287A_plate2_F04_F4_022_2020-07-30.fsa","BLUE","B,1 ","F4","0.82","6113.0","51055.0","6946.27","1049.0","1044.0","1059.0","0.14","2.18"
